Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website,tract_geoid
Moped,2068,N Western Ave,Ste 1,,Logan Square,Chicago,60647,Active,Trade Service,Bike shops,No,2020,TEMP CLOSED,773-252-6705,,POINT(-87.6879466 41.9196014),-87.6879466,41.9196014,enjoymoped.com,17031221500
Grime A Way Professional Washing,4521,N Greenview Ave,,,Uptown,Chicago,60640,Out of Business,Personal Service,"Laundry, tailor",No,2020,,773-297-4950,,POINT(-87.6677255605062 41.9640845870442),-87.66772556,41.96408459,,17031031900
Bff Bikes,2113,W Armitage Ave,,,Logan Square,Chicago,60647,Active,Trade Service,Bike shops,No,2020,,773-666-5153,,POINT(-87.6806788 41.9175236),-87.6806788,41.9175236,bffbikes.com,17031222200
John Culver Attorney,4707,N Broadway,,,Uptown,Chicago,60640,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,No,2020,,773-370-0273,,POINT(-87.658832275126 41.9675943034016),-87.65883228,41.9675943,,17031830700
Archangel Trust,5000,N Marine Dr,,,Uptown,Chicago,60640,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Other legal,Yes,2020,"No website, no social media, and called 312-883-5280 at 1:58 8/10/20",312-883-5280,,POINT(-87.6510547404478 41.9734008529356),-87.65105474,41.97340085,,17031031300
Office CPA and Associates,1023,W Argyle St,,,Uptown,Chicago,60640,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2020,,773-334-8253,,POINT(-87.6558538937335 41.9731987890392),-87.65585389,41.97319879,,17031031200
William Amattey,4753,N Broadway,,,Uptown,Chicago,60640,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,No,2020,,773-506-0705,,POINT(-87.6595429619917 41.9686687396441),-87.65954296,41.96866874,,17031830700
Union Music Group,1020,W Lawrence Ave,,,Uptown,Chicago,60640,Active,Arts and Entertainment,Other,No,2020,,773-580-4810,,POINT(-87.6557950828285 41.9691024462184),-87.65579508,41.96910245,,17031031200
McDonald's,4556,N Kedzie Ave,,,Albany Park,Chicago,60625,Active,Dining,Fast Food,No,2020,,773-583-4395,,POINT(-87.7083965658057 41.9639705503226),-87.70839657,41.96397055,,17031140702
Gt's Fast Food,5016,N Pulaski Rd,,,Albany Park,Chicago,60630,Active,Dining,Fast Food,No,2020,,773-286-0050,,POINT(-87.7285743 41.972321),-87.7285743,41.972321,,17031130200
Domino's Pizza,5008,N Pulaski Rd,,,Albany Park,Chicago,60630,Active,Dining,Fast Food,No,2020,,773-685-3030,,POINT(-87.7285935 41.9722633),-87.7285935,41.9722633,http:/dominos.com,17031130200
Subway,2579,N Elston Ave,,,Logan Square,Chicago,60647,Active,Dining,Fast Food,No,2020,,773-904-8346,,POINT(-87.6822403241696 41.9284340144123),-87.68224032,41.92843401,,17031830900
Subway,1917,W Fullerton Ave,,,Logan Square,Chicago,60614,Active,Dining,Fast Food,No,2020,,773-384-6386,,POINT(-87.6765978 41.9247667),-87.6765978,41.9247667,,17031832300
Jollibee,5033,N Elston Ave,,,Albany Park,Chicago,60630,Active,Dining,Fast Food,No,2020,Their website says they are open.,773-685-6770,,POINT(-87.7457287 41.9727333),-87.7457287,41.9727333,https://jollibeeusa.com,17031140400
Grill City,5033,N Elston Ave,,,Albany Park,Chicago,60630,Active,Dining,Fast Food,No,2020,The website says they are open,773-295-1658,,POINT(-87.7457287 41.9727333),-87.7457287,41.9727333,https://grillcity.com,17031140400
Crispy Town,5033,N Elston Ave,,,Albany Park,Chicago,60630,Active,Dining,Fast Food,No,2020,Their Facebook page says that they are open and it has recent posts.,,,POINT(-87.7457287 41.9727333),-87.7457287,41.9727333,https://seafood city.com,17031140400
Sun Submarine,321,N Laramie Ave,,,Austin,Chicago,60644,Active,Dining,Fast Food,No,2020,"No response to phone call, no website, unable to confirm status.
8/10/20
Grubhub page as well as recent google reviews confirm active status.",773-378-8380,,POINT(-87.7550463 41.886365),-87.7550463,41.886365,,17031251800
Brown's Just Good Food,5254,W Chicago Ave,,,Austin,Chicago,60651,Active,Dining,Fast Food,No,2020,,773-413-7303,,POINT(-87.7577707765646 41.8949454529235),-87.75777078,41.89494545,,17031251200
Rosati's,4863,N Broadway,,,Uptown,Chicago,60640,Active,Dining,Fast Food,No,2020,,773-344-3333,,POINT(-87.6596681080905 41.9711146073513),-87.65966811,41.97111461,,17031031200
BBQ Kingdom The New Way,3717,W Roosevelt Rd,,,North Lawndale,Chicago,60624,Active,Dining,Fast Food,No,2020,,773-940-1401,,POINT(-87.7185501390205 41.866241503162),-87.71855014,41.8662415,,17031838700
McDonald's,2844,W 47th St,,,Brighton Park,Chicago,60632,Active,Dining,Fast Food,No,2020,,773-523-2865,,POINT(-87.6956934471522 41.8083288507859),-87.69569345,41.80832885,,17031842800
Hook Fish and Chicken,4024,W Roosevelt Rd,,,North Lawndale,Chicago,60624,Active,Dining,Fast Food,No,2020,,773-722-9566,,POINT(-87.7260483 41.8664607),-87.7260483,41.8664607,,17031843000
Vicky's Place,611,N Cicero Ave,,,Austin,Chicago,60644,Unknown,Dining,Fast Food,No,2020,"Facebook active as of about a year ago. When called, it says the phone number has been changed.
8/11/20
Facebook and Twitter account inactive for a year. The only phone number which is listed here says it is not in service. No new information.",773-688-5595,,POINT(-87.745479 41.8917624),-87.745479,41.8917624,,17031251700
Louisiana Famous Fried Chicken,1554,W Marquette Rd,,,West Englewood,Chicago,60636,Active,Dining,Fast Food,No,2020,,773-306-1353,,POINT(-87.6635804939351 41.7722808244599),-87.66358049,41.77228082,,17031671600
Tasty Fish & Chicken,5409,W North Ave,,,Austin,Chicago,60639,Active,Dining,Fast Food,No,2020,,773-417-7955,,POINT(-87.7610886393878 41.9094024955762),-87.76108864,41.9094025,,17031250700
