census_tract,PlaceType,count_of_Active_PlaceStatus
17031030900,Personal Service,1
17031030900,Retail,1
17031031000,Arts and Entertainment,6
17031031000,Childcare and Schools,1
17031031000,Dining,7
17031031000,"Financial, Insurance, Real Estate, Legal, and Professional",28
17031031000,Health Services,26
17031031000,Industrial,1
17031031000,Personal Service,9
17031031000,Public Services,3
17031031000,Retail,16
17031031000,Service or Programmed Residential Space,1
17031031000,Social Services & Political Advocacy,4
17031031000,Trade Service,36
17031031000,Unknown,1
17031031000,"Wholesale, storage and transit",2
17031031100,Arts and Entertainment,12
17031031100,Childcare and Schools,2
17031031100,Dining,10
17031031100,"Financial, Insurance, Real Estate, Legal, and Professional",27
17031031100,Fitness,1
17031031100,Health Services,4
17031031100,Personal Service,5
17031031100,Public Services,2
17031031100,Religious (except school or residence),2
17031031100,Retail,10
17031031100,Service or Programmed Residential Space,1
17031031100,Social Services & Political Advocacy,3
17031031100,Trade Service,17
17031031100,"Wholesale, storage and transit",4
17031031200,Arts and Entertainment,6
17031031200,Childcare and Schools,5
17031031200,Dining,33
17031031200,"Financial, Insurance, Real Estate, Legal, and Professional",17
17031031200,Health Services,12
17031031200,Personal Service,6
17031031200,Religious (except school or residence),1
17031031200,Retail,18
17031031200,Service or Programmed Residential Space,9
17031031200,Social Services & Political Advocacy,2
17031031200,Trade Service,5
17031031200,"Wholesale, storage and transit",2
17031031300,Arts and Entertainment,9
17031031300,Childcare and Schools,5
17031031300,Dining,1
17031031300,"Financial, Insurance, Real Estate, Legal, and Professional",27
17031031300,Fitness,3
17031031300,Health Services,5
17031031300,Industrial,2
17031031300,Personal Service,2
17031031300,Religious (except school or residence),1
17031031300,Retail,9
17031031300,Service or Programmed Residential Space,9
17031031300,Social Services & Political Advocacy,3
17031031300,Trade Service,11
17031031300,Unknown,2
17031031300,"Wholesale, storage and transit",7
17031031400,Arts and Entertainment,6
17031031400,Childcare and Schools,5
17031031400,Dining,1
17031031400,"Financial, Insurance, Real Estate, Legal, and Professional",41
17031031400,Health Services,36
17031031400,Industrial,1
17031031400,Personal Service,5
17031031400,Public Services,1
17031031400,Retail,9
17031031400,Service or Programmed Residential Space,1
17031031400,Social Services & Political Advocacy,2
17031031400,Trade Service,13
17031031400,"Wholesale, storage and transit",6
17031031501,Arts and Entertainment,1
17031031501,Childcare and Schools,3
17031031501,Dining,1
17031031501,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031031501,Health Services,3
17031031501,Personal Service,1
17031031501,Religious (except school or residence),3
17031031501,Retail,4
17031031501,Service or Programmed Residential Space,3
17031031501,Social Services & Political Advocacy,3
17031031501,Trade Service,6
17031031501,"Wholesale, storage and transit",1
17031031502,Arts and Entertainment,3
17031031502,Childcare and Schools,1
17031031502,Dining,4
17031031502,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031031502,Health Services,5
17031031502,Other,2
17031031502,Personal Service,6
17031031502,Retail,11
17031031502,Service or Programmed Residential Space,1
17031031502,Social Services & Political Advocacy,2
17031031502,Trade Service,5
17031031700,Arts and Entertainment,10
17031031700,Childcare and Schools,2
17031031700,Dining,14
17031031700,"Financial, Insurance, Real Estate, Legal, and Professional",26
17031031700,Fitness,1
17031031700,Health Services,12
17031031700,Industrial,1
17031031700,Other,1
17031031700,Personal Service,9
17031031700,Religious (except school or residence),4
17031031700,Retail,14
17031031700,Service or Programmed Residential Space,11
17031031700,Social Services & Political Advocacy,6
17031031700,Trade Service,20
17031031700,"Wholesale, storage and transit",5
17031031800,Arts and Entertainment,5
17031031800,Childcare and Schools,4
17031031800,Dining,5
17031031800,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031031800,Fitness,1
17031031800,Health Services,7
17031031800,Other,1
17031031800,Personal Service,4
17031031800,Public Services,1
17031031800,Religious (except school or residence),2
17031031800,Retail,8
17031031800,Social Services & Political Advocacy,1
17031031800,Trade Service,15
17031031800,"Wholesale, storage and transit",3
17031031900,Arts and Entertainment,6
17031031900,Childcare and Schools,1
17031031900,Dining,3
17031031900,"Financial, Insurance, Real Estate, Legal, and Professional",18
17031031900,Fitness,1
17031031900,Health Services,10
17031031900,Industrial,1
17031031900,Personal Service,4
17031031900,Religious (except school or residence),4
17031031900,Retail,18
17031031900,Social Services & Political Advocacy,1
17031031900,Trade Service,14
17031031900,"Wholesale, storage and transit",7
17031032100,Arts and Entertainment,7
17031032100,Childcare and Schools,4
17031032100,Dining,6
17031032100,"Financial, Insurance, Real Estate, Legal, and Professional",29
17031032100,Fitness,3
17031032100,Health Services,30
17031032100,Other,2
17031032100,Personal Service,11
17031032100,Public Services,2
17031032100,Retail,13
17031032100,Service or Programmed Residential Space,8
17031032100,Social Services & Political Advocacy,5
17031032100,Trade Service,19
17031032100,"Wholesale, storage and transit",4
17031040402,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031040402,Health Services,2
17031040402,Personal Service,1
17031040402,Trade Service,1
17031040800,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031050600,Trade Service,1
17031062600,Childcare and Schools,1
17031130200,Dining,3
17031130200,Personal Service,2
17031130200,Retail,1
17031140100,Childcare and Schools,2
17031140100,Dining,5
17031140100,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031140100,Health Services,5
17031140100,Industrial,3
17031140100,Other,1
17031140100,Personal Service,3
17031140100,Retail,8
17031140100,Trade Service,8
17031140100,"Wholesale, storage and transit",5
17031140200,Arts and Entertainment,5
17031140200,Childcare and Schools,6
17031140200,Dining,11
17031140200,"Financial, Insurance, Real Estate, Legal, and Professional",11
17031140200,Fitness,1
17031140200,Health Services,6
17031140200,Personal Service,6
17031140200,Religious (except school or residence),2
17031140200,Retail,19
17031140200,Service or Programmed Residential Space,2
17031140200,Social Services & Political Advocacy,3
17031140200,Trade Service,9
17031140200,"Wholesale, storage and transit",3
17031140301,Arts and Entertainment,3
17031140301,Childcare and Schools,1
17031140301,Dining,12
17031140301,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031140301,Fitness,1
17031140301,Personal Service,4
17031140301,Retail,18
17031140301,Service or Programmed Residential Space,1
17031140301,Trade Service,4
17031140301,"Wholesale, storage and transit",2
17031140302,Arts and Entertainment,2
17031140302,Childcare and Schools,1
17031140302,Fitness,1
17031140302,Health Services,6
17031140302,Religious (except school or residence),3
17031140302,Retail,4
17031140302,Trade Service,12
17031140302,"Wholesale, storage and transit",2
17031140400,Arts and Entertainment,3
17031140400,Childcare and Schools,2
17031140400,Dining,16
17031140400,"Financial, Insurance, Real Estate, Legal, and Professional",26
17031140400,Fitness,1
17031140400,Health Services,8
17031140400,Industrial,1
17031140400,Personal Service,10
17031140400,Public Services,1
17031140400,Religious (except school or residence),2
17031140400,Retail,28
17031140400,Service or Programmed Residential Space,1
17031140400,Social Services & Political Advocacy,6
17031140400,Trade Service,40
17031140400,"Wholesale, storage and transit",11
17031140500,Arts and Entertainment,1
17031140500,Childcare and Schools,2
17031140500,Dining,10
17031140500,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031140500,Fitness,4
17031140500,Health Services,4
17031140500,Industrial,1
17031140500,Personal Service,8
17031140500,Religious (except school or residence),3
17031140500,Retail,17
17031140500,Social Services & Political Advocacy,1
17031140500,Trade Service,21
17031140500,"Wholesale, storage and transit",7
17031140601,Arts and Entertainment,2
17031140601,Childcare and Schools,1
17031140601,Dining,11
