ZCTA_Zipcode,Place Type,count_of_Active_PlaceStatus
60064,Trade Service,1
60160,Retail,1
60601,"Financial, Insurance, Real Estate, Legal, and Professional",1
60603,"Wholesale, Storage and Transportation",1
60604,Trade Service,1
60605,"Financial, Insurance, Real Estate, Legal, and Professional",1
60606,Dining,2
60606,Retail,1
60607,Arts and Entertainment,39
60607,Childcare and Schools,101
60607,Dining,206
60607,"Financial, Insurance, Real Estate, Legal, and Professional",303
60607,Fitness,29
60607,Health Services,92
60607,Homeless,1
60607,Industrial,21
60607,Other,13
60607,Personal Service,60
60607,Public Services,24
60607,Religious (except school or residence),12
60607,Retail,159
60607,Service or Programmed Residential Space,18
60607,Social Services & Political Advocacy,54
60607,Trade Service,169
60607,"Wholesale, Storage and Transportation",46
60608,Arts and Entertainment,26
60608,Childcare and Schools,42
60608,Dining,115
60608,"Financial, Insurance, Real Estate, Legal, and Professional",81
60608,Fitness,11
60608,Health Services,36
60608,Industrial,33
60608,Other,4
60608,Personal Service,62
60608,Public Services,14
60608,Religious (except school or residence),24
60608,Retail,135
60608,Service or Programmed Residential Space,8
60608,Social Services & Political Advocacy,38
60608,Trade Service,102
60608,"Wholesale, Storage and Transportation",80
60609,Arts and Entertainment,14
60609,Childcare and Schools,39
60609,Dining,62
60609,"Financial, Insurance, Real Estate, Legal, and Professional",45
60609,Fitness,10
60609,Health Services,29
60609,Industrial,47
60609,Other,2
60609,Personal Service,34
60609,Public Services,18
60609,Religious (except school or residence),49
60609,Retail,179
60609,Service or Programmed Residential Space,10
60609,Social Services & Political Advocacy,23
60609,Trade Service,93
60609,"Wholesale, Storage and Transportation",50
60612,Arts and Entertainment,28
60612,Childcare and Schools,101
60612,Dining,46
60612,"Financial, Insurance, Real Estate, Legal, and Professional",73
60612,Fitness,7
60612,Health Services,195
60612,Industrial,53
60612,Other,13
60612,Personal Service,30
60612,Public Services,29
60612,Religious (except school or residence),55
60612,Retail,101
60612,Service or Programmed Residential Space,17
60612,Social Services & Political Advocacy,46
60612,Trade Service,158
60612,Unknown,2
60612,"Wholesale, Storage and Transportation",47
60613,"Financial, Insurance, Real Estate, Legal, and Professional",1
60613,Trade Service,1
60614,Arts and Entertainment,3
60614,Childcare and Schools,2
60614,Dining,5
60614,"Financial, Insurance, Real Estate, Legal, and Professional",19
60614,Fitness,4
60614,Health Services,7
60614,Industrial,5
60614,Personal Service,1
60614,Religious (except school or residence),1
60614,Retail,13
60614,Social Services & Political Advocacy,1
60614,Trade Service,15
60614,"Wholesale, Storage and Transportation",2
60615,Arts and Entertainment,15
60615,Childcare and Schools,44
60615,Dining,64
60615,"Financial, Insurance, Real Estate, Legal, and Professional",72
60615,Fitness,9
60615,Health Services,77
60615,Other,8
60615,Personal Service,41
60615,Public Services,12
60615,Religious (except school or residence),41
60615,Retail,63
60615,Service or Programmed Residential Space,22
60615,Social Services & Political Advocacy,19
60615,Trade Service,29
60615,"Wholesale, Storage and Transportation",4
60616,Arts and Entertainment,15
60616,Childcare and Schools,28
60616,Dining,70
60616,"Financial, Insurance, Real Estate, Legal, and Professional",35
60616,Fitness,5
60616,Health Services,24
60616,Industrial,12
60616,Other,5
60616,Personal Service,23
60616,Public Services,4
60616,Religious (except school or residence),10
60616,Retail,59
60616,Service or Programmed Residential Space,11
60616,Social Services & Political Advocacy,13
60616,Trade Service,34
60616,Unknown,1
60616,"Wholesale, Storage and Transportation",18
60617,Arts and Entertainment,9
60617,Childcare and Schools,55
60617,Dining,44
60617,"Financial, Insurance, Real Estate, Legal, and Professional",45
60617,Fitness,5
60617,Health Services,42
60617,Industrial,7
60617,Other,4
60617,Personal Service,39
60617,Public Services,7
60617,Religious (except school or residence),55
60617,Retail,88
60617,Service or Programmed Residential Space,17
60617,Social Services & Political Advocacy,19
60617,Trade Service,56
60617,Unknown,1
