census_tract,PlaceType,count_of_Active_PlaceStatus
17031031000,Arts and Entertainment,8
17031031000,Childcare and Schools,1
17031031000,Dining,9
17031031000,"Financial, Insurance, Real Estate, Legal, and Professional",22
17031031000,Health Services,27
17031031000,Personal Service,8
17031031000,Public Services,3
17031031000,Retail,12
17031031000,Social Services & Political Advocacy,4
17031031000,Trade Service,38
17031031000,Unknown,1
17031031000,"Wholesale, storage and transit",1
17031031100,Arts and Entertainment,11
17031031100,Childcare and Schools,1
17031031100,Dining,8
17031031100,"Financial, Insurance, Real Estate, Legal, and Professional",28
17031031100,Fitness,1
17031031100,Health Services,6
17031031100,Personal Service,7
17031031100,Public Services,3
17031031100,Religious (except school or residence),2
17031031100,Retail,10
17031031100,Service or Programmed Residential Space,3
17031031100,Social Services & Political Advocacy,2
17031031100,Trade Service,15
17031031100,"Wholesale, storage and transit",4
17031031200,Arts and Entertainment,5
17031031200,Childcare and Schools,4
17031031200,Dining,30
17031031200,"Financial, Insurance, Real Estate, Legal, and Professional",16
17031031200,Health Services,16
17031031200,Personal Service,7
17031031200,Public Services,1
17031031200,Religious (except school or residence),2
17031031200,Retail,26
17031031200,Service or Programmed Residential Space,10
17031031200,Social Services & Political Advocacy,6
17031031200,Trade Service,7
17031031200,"Wholesale, storage and transit",1
17031031300,Arts and Entertainment,9
17031031300,Childcare and Schools,5
17031031300,Dining,1
17031031300,"Financial, Insurance, Real Estate, Legal, and Professional",32
17031031300,Fitness,3
17031031300,Health Services,7
17031031300,Industrial,2
17031031300,Personal Service,2
17031031300,Religious (except school or residence),1
17031031300,Retail,11
17031031300,Service or Programmed Residential Space,5
17031031300,Social Services & Political Advocacy,4
17031031300,Trade Service,13
17031031300,Unknown,1
17031031300,"Wholesale, storage and transit",8
17031031400,Arts and Entertainment,6
17031031400,Childcare and Schools,6
17031031400,Dining,2
17031031400,"Financial, Insurance, Real Estate, Legal, and Professional",40
17031031400,Health Services,39
17031031400,Industrial,1
17031031400,Personal Service,5
17031031400,Public Services,1
17031031400,Retail,13
17031031400,Social Services & Political Advocacy,2
17031031400,Trade Service,14
17031031400,"Wholesale, storage and transit",6
17031031501,Arts and Entertainment,2
17031031501,Childcare and Schools,4
17031031501,Dining,2
17031031501,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031031501,Health Services,5
17031031501,Personal Service,1
17031031501,Religious (except school or residence),5
17031031501,Retail,4
17031031501,Service or Programmed Residential Space,4
17031031501,Social Services & Political Advocacy,2
17031031501,Trade Service,11
17031031501,"Wholesale, storage and transit",2
17031031502,Arts and Entertainment,2
17031031502,Childcare and Schools,1
17031031502,Dining,3
17031031502,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031031502,Health Services,2
17031031502,Other,2
17031031502,Personal Service,5
17031031502,Religious (except school or residence),1
17031031502,Retail,10
17031031502,Service or Programmed Residential Space,2
17031031502,Social Services & Political Advocacy,4
17031031502,Trade Service,5
17031031700,Arts and Entertainment,10
17031031700,Childcare and Schools,2
17031031700,Dining,17
17031031700,"Financial, Insurance, Real Estate, Legal, and Professional",24
17031031700,Fitness,1
17031031700,Health Services,9
17031031700,Industrial,1
17031031700,Personal Service,7
17031031700,Religious (except school or residence),3
17031031700,Retail,17
17031031700,Service or Programmed Residential Space,19
17031031700,Social Services & Political Advocacy,9
17031031700,Trade Service,21
17031031700,"Wholesale, storage and transit",6
17031031800,Arts and Entertainment,5
17031031800,Childcare and Schools,6
17031031800,Dining,6
17031031800,"Financial, Insurance, Real Estate, Legal, and Professional",11
17031031800,Health Services,5
17031031800,Other,1
17031031800,Personal Service,3
17031031800,Public Services,1
17031031800,Religious (except school or residence),1
17031031800,Retail,8
17031031800,Social Services & Political Advocacy,1
17031031800,Trade Service,18
17031031800,"Wholesale, storage and transit",3
17031031900,Arts and Entertainment,5
17031031900,Childcare and Schools,1
17031031900,Dining,4
17031031900,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031031900,Fitness,2
17031031900,Health Services,8
17031031900,Industrial,1
17031031900,Personal Service,11
17031031900,Religious (except school or residence),3
17031031900,Retail,12
17031031900,Social Services & Political Advocacy,3
17031031900,Trade Service,16
17031031900,"Wholesale, storage and transit",4
17031032100,Arts and Entertainment,5
17031032100,Childcare and Schools,3
17031032100,Dining,7
17031032100,"Financial, Insurance, Real Estate, Legal, and Professional",32
17031032100,Fitness,2
17031032100,Health Services,32
17031032100,Other,1
17031032100,Personal Service,7
17031032100,Public Services,3
17031032100,Religious (except school or residence),1
17031032100,Retail,14
17031032100,Service or Programmed Residential Space,9
17031032100,Social Services & Political Advocacy,5
17031032100,Trade Service,17
17031032100,"Wholesale, storage and transit",3
17031040100,Arts and Entertainment,5
17031040100,Childcare and Schools,1
17031040100,Dining,7
17031040100,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031040100,Fitness,1
17031040100,Health Services,6
17031040100,Industrial,1
17031040100,Personal Service,4
17031040100,Public Services,3
17031040100,Retail,7
17031040100,Service or Programmed Residential Space,2
17031040100,Trade Service,17
17031040100,"Wholesale, storage and transit",2
17031040201,Arts and Entertainment,8
17031040201,Childcare and Schools,6
17031040201,Dining,16
17031040201,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031040201,Fitness,5
17031040201,Health Services,32
17031040201,Personal Service,12
17031040201,Public Services,1
17031040201,Religious (except school or residence),4
17031040201,Retail,18
17031040201,Service or Programmed Residential Space,1
17031040201,Social Services & Political Advocacy,1
17031040201,Trade Service,33
17031040201,Unknown,1
17031040201,"Wholesale, storage and transit",1
17031040202,Arts and Entertainment,4
17031040202,Childcare and Schools,1
17031040202,Dining,8
17031040202,"Financial, Insurance, Real Estate, Legal, and Professional",10
17031040202,Fitness,3
17031040202,Health Services,8
17031040202,Personal Service,6
17031040202,Public Services,1
17031040202,Religious (except school or residence),2
17031040202,Retail,19
17031040202,Service or Programmed Residential Space,2
17031040202,Trade Service,21
17031040202,"Wholesale, storage and transit",7
17031040300,Arts and Entertainment,1
17031040300,Dining,2
17031040300,"Financial, Insurance, Real Estate, Legal, and Professional",10
17031040300,Fitness,1
17031040300,Health Services,35
17031040300,Other,1
17031040300,Personal Service,1
17031040300,Religious (except school or residence),2
17031040300,Service or Programmed Residential Space,1
17031040300,Social Services & Political Advocacy,3
17031040300,Trade Service,9
17031040300,"Wholesale, storage and transit",1
17031040401,Arts and Entertainment,2
17031040401,Childcare and Schools,2
17031040401,Dining,3
17031040401,"Financial, Insurance, Real Estate, Legal, and Professional",11
17031040401,Health Services,4
17031040401,Personal Service,2
17031040401,Religious (except school or residence),1
17031040401,Retail,15
17031040401,Trade Service,17
17031040401,"Wholesale, storage and transit",1
17031040402,Arts and Entertainment,6
17031040402,Childcare and Schools,4
17031040402,Dining,8
17031040402,"Financial, Insurance, Real Estate, Legal, and Professional",15
17031040402,Fitness,4
17031040402,Health Services,18
17031040402,Other,1
17031040402,Personal Service,8
17031040402,Religious (except school or residence),1
17031040402,Retail,15
17031040402,Social Services & Political Advocacy,1
17031040402,Trade Service,19
17031040600,Arts and Entertainment,3
17031040600,Childcare and Schools,4
17031040600,Dining,24
17031040600,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031040600,Fitness,5
17031040600,Health Services,8
17031040600,Personal Service,9
17031040600,Religious (except school or residence),1
17031040600,Retail,23
17031040600,Trade Service,11
17031040600,"Wholesale, storage and transit",3
