ZCTA_Zipcode,PlaceType,count_of_Active_PlaceStatus
60131,Trade Service,1
60302,Dining,1
60302,Retail,1
60402,Trade Service,1
60419,Religious (except school or residence),1
60601,Health Services,1
60601,Social Services & Political Advocacy,1
60601,Trade Service,1
60602,"Financial, Insurance, Real Estate, Legal, and Professional",2
60602,Health Services,1
60603,"Financial, Insurance, Real Estate, Legal, and Professional",2
60603,Social Services & Political Advocacy,1
60604,"Financial, Insurance, Real Estate, Legal, and Professional",1
60605,Trade Service,1
60606,Dining,2
60606,"Financial, Insurance, Real Estate, Legal, and Professional",2
60607,Arts and Entertainment,38
60607,Childcare and Schools,101
60607,Dining,224
60607,"Financial, Insurance, Real Estate, Legal, and Professional",298
60607,Fitness,27
60607,Health Services,95
60607,Industrial,21
60607,Other,12
60607,Personal Service,65
60607,Public Services,23
60607,Religious (except school or residence),13
60607,Retail,170
60607,Service or Programmed Residential Space,19
60607,Social Services & Political Advocacy,57
60607,Trade Service,152
60607,Unknown,1
60607,"Wholesale, storage and transit",44
60608,Arts and Entertainment,38
60608,Childcare and Schools,58
60608,Dining,209
60608,"Financial, Insurance, Real Estate, Legal, and Professional",151
60608,Fitness,9
60608,Health Services,77
60608,Industrial,53
60608,Other,5
60608,Personal Service,119
60608,Public Services,25
60608,Religious (except school or residence),38
60608,Retail,269
60608,Service or Programmed Residential Space,12
60608,Social Services & Political Advocacy,50
60608,Trade Service,200
60608,"Wholesale, storage and transit",111
60609,Arts and Entertainment,19
60609,Childcare and Schools,58
60609,Dining,109
60609,"Financial, Insurance, Real Estate, Legal, and Professional",77
60609,Fitness,13
60609,Health Services,42
60609,Industrial,84
60609,Other,4
60609,Personal Service,58
60609,Public Services,34
60609,Religious (except school or residence),74
60609,Retail,236
60609,Service or Programmed Residential Space,9
60609,Social Services & Political Advocacy,34
60609,Trade Service,159
60609,"Wholesale, storage and transit",89
60611,"Financial, Insurance, Real Estate, Legal, and Professional",2
60612,Arts and Entertainment,24
60612,Childcare and Schools,90
60612,Dining,40
60612,"Financial, Insurance, Real Estate, Legal, and Professional",80
60612,Fitness,9
60612,Health Services,195
60612,Industrial,57
60612,Other,13
60612,Personal Service,23
60612,Public Services,32
60612,Religious (except school or residence),54
60612,Retail,102
60612,Service or Programmed Residential Space,15
60612,Social Services & Political Advocacy,55
60612,Trade Service,167
60612,Unknown,1
60612,"Wholesale, storage and transit",54
60613,Arts and Entertainment,13
60613,Childcare and Schools,11
60613,Dining,15
60613,"Financial, Insurance, Real Estate, Legal, and Professional",79
60613,Fitness,5
60613,Health Services,46
60613,Industrial,1
60613,Other,1
60613,Personal Service,22
60613,Public Services,5
60613,Religious (except school or residence),2
60613,Retail,39
60613,Service or Programmed Residential Space,9
60613,Social Services & Political Advocacy,12
60613,Trade Service,32
60613,"Wholesale, storage and transit",12
60614,Arts and Entertainment,2
60614,Childcare and Schools,4
60614,Dining,5
60614,"Financial, Insurance, Real Estate, Legal, and Professional",24
60614,Fitness,1
60614,Health Services,6
60614,Industrial,7
60614,Personal Service,2
60614,Retail,14
60614,Social Services & Political Advocacy,1
60614,Trade Service,18
60614,"Wholesale, storage and transit",3
60615,Arts and Entertainment,15
60615,Childcare and Schools,27
60615,Dining,61
60615,"Financial, Insurance, Real Estate, Legal, and Professional",83
60615,Fitness,6
60615,Health Services,96
60615,Other,5
60615,Personal Service,33
60615,Public Services,13
60615,Religious (except school or residence),13
60615,Retail,61
60615,Service or Programmed Residential Space,19
60615,Social Services & Political Advocacy,18
60615,Trade Service,27
60615,"Wholesale, storage and transit",4
60616,Arts and Entertainment,25
60616,Childcare and Schools,50
60616,Dining,115
60616,"Financial, Insurance, Real Estate, Legal, and Professional",60
60616,Fitness,6
60616,Health Services,60
60616,Industrial,11
60616,Other,3
60616,Personal Service,42
60616,Public Services,6
60616,Religious (except school or residence),19
60616,Retail,103
60616,Service or Programmed Residential Space,13
60616,Social Services & Political Advocacy,20
60616,Trade Service,51
60616,"Wholesale, storage and transit",34
60617,Arts and Entertainment,22
60617,Childcare and Schools,74
60617,Dining,72
60617,"Financial, Insurance, Real Estate, Legal, and Professional",78
60617,Fitness,10
60617,Health Services,58
60617,Industrial,16
60617,Other,5
60617,Personal Service,60
60617,Public Services,20
60617,Religious (except school or residence),79
60617,Retail,136
60617,Service or Programmed Residential Space,20
60617,Social Services & Political Advocacy,14
60617,Trade Service,95
60617,Unknown,1
60617,"Wholesale, storage and transit",25
60618,Arts and Entertainment,59
60618,Childcare and Schools,41
60618,Dining,152
60618,"Financial, Insurance, Real Estate, Legal, and Professional",225
60618,Fitness,22
60618,Health Services,72
60618,Industrial,16
60618,Other,1
60618,Personal Service,92
60618,Public Services,12
60618,Religious (except school or residence),23
60618,Retail,205
60618,Service or Programmed Residential Space,3
60618,Social Services & Political Advocacy,29
60618,Trade Service,305
60618,"Wholesale, storage and transit",76
60619,Arts and Entertainment,24
60619,Childcare and Schools,76
60619,Dining,96
60619,"Financial, Insurance, Real Estate, Legal, and Professional",96
60619,Fitness,6
60619,Health Services,49
60619,Industrial,5
60619,Other,3
60619,Personal Service,120
60619,Public Services,12
60619,Religious (except school or residence),84
60619,Retail,174
60619,Service or Programmed Residential Space,10
60619,Social Services & Political Advocacy,29
60619,Trade Service,70
60619,"Wholesale, storage and transit",8
60620,Arts and Entertainment,16
60620,Childcare and Schools,60
60620,Dining,50
60620,"Financial, Insurance, Real Estate, Legal, and Professional",51
60620,Fitness,6
60620,Health Services,18
60620,Industrial,4
60620,Other,1
60620,Personal Service,40
60620,Public Services,7
60620,Religious (except school or residence),103
60620,Retail,126
60620,Service or Programmed Residential Space,16
60620,Social Services & Political Advocacy,23
60620,Trade Service,69
60620,Unknown,1
60620,"Wholesale, storage and transit",19
60621,Childcare and Schools,33
60621,Dining,17
60621,"Financial, Insurance, Real Estate, Legal, and Professional",13
60621,Fitness,2
60621,Health Services,15
60621,Industrial,2
60621,Other,1
60621,Personal Service,17
60621,Public Services,4
60621,Religious (except school or residence),74
60621,Retail,48
60621,Service or Programmed Residential Space,13
60621,Social Services & Political Advocacy,15
60621,Trade Service,17
60621,"Wholesale, storage and transit",4
60622,Arts and Entertainment,2
60622,Childcare and Schools,2
60622,Dining,6
60622,"Financial, Insurance, Real Estate, Legal, and Professional",11
60622,Fitness,1
60622,Health Services,5
60622,Industrial,4
60622,Other,1
60622,Personal Service,6
60622,Public Services,1
60622,Religious (except school or residence),1
60622,Retail,5
60622,Service or Programmed Residential Space,1
60622,Social Services & Political Advocacy,3
60622,Trade Service,22
60622,"Wholesale, storage and transit",2
60623,Arts and Entertainment,25
60623,Childcare and Schools,67
60623,Dining,122
60623,"Financial, Insurance, Real Estate, Legal, and Professional",120
60623,Fitness,8
60623,Health Services,72
60623,Industrial,43
60623,Other,11
60623,Personal Service,94
60623,Public Services,17
60623,Religious (except school or residence),29
60623,Retail,325
60623,Service or Programmed Residential Space,8
60623,Social Services & Political Advocacy,30
60623,Trade Service,153
60623,"Wholesale, storage and transit",28
60624,Arts and Entertainment,10
60624,Childcare and Schools,36
60624,Dining,24
60624,"Financial, Insurance, Real Estate, Legal, and Professional",10
60624,Fitness,3
60624,Health Services,19
60624,Industrial,34
60624,Other,2
60624,Personal Service,22
60624,Public Services,11
60624,Religious (except school or residence),49
60624,Retail,115
60624,Service or Programmed Residential Space,11
60624,Social Services & Political Advocacy,23
60624,Trade Service,60
60624,"Wholesale, storage and transit",22
60625,Arts and Entertainment,53
60625,Childcare and Schools,49
60625,Dining,182
60625,"Financial, Insurance, Real Estate, Legal, and Professional",193
60625,Fitness,28
60625,Health Services,154
60625,Industrial,5
60625,Other,3
60625,Personal Service,99
60625,Public Services,8
60625,Religious (except school or residence),27
60625,Retail,255
60625,Service or Programmed Residential Space,11
60625,Social Services & Political Advocacy,25
