Zip,PlaceType,count_of_Active_PlaceStatus
60601,"Financial, Insurance, Real Estate, Legal, and Professional",1
60601,Health Services,1
60601,"Wholesale, storage and transit",1
60602,"Financial, Insurance, Real Estate, Legal, and Professional",1
60602,Health Services,1
60603,"Financial, Insurance, Real Estate, Legal, and Professional",1
60603,Trade Service,1
60604,"Financial, Insurance, Real Estate, Legal, and Professional",1
60605,Health Services,1
60606,"Financial, Insurance, Real Estate, Legal, and Professional",1
60606,Health Services,1
60608,Arts and Entertainment,1
60608,Childcare and Schools,3
60608,Dining,1
60608,"Financial, Insurance, Real Estate, Legal, and Professional",2
60608,Health Services,11
60608,Industrial,4
60608,Religious (except school or residence),5
60608,Retail,2
60608,Social Services & Political Advocacy,1
60608,Trade Service,8
60609,Arts and Entertainment,1
60609,Childcare and Schools,1
60609,Dining,5
60609,"Financial, Insurance, Real Estate, Legal, and Professional",2
60609,Fitness,1
60609,Health Services,5
60609,Industrial,1
60609,Personal Service,2
60609,Public Services,1
60609,Religious (except school or residence),2
60609,Retail,5
60609,Service or Programmed Residential Space,1
60609,Social Services & Political Advocacy,2
60609,Trade Service,15
60609,"Wholesale, storage and transit",3
60610,Social Services & Political Advocacy,1
60610,Trade Service,1
60611,"Financial, Insurance, Real Estate, Legal, and Professional",2
60612,Childcare and Schools,1
60612,Dining,3
60612,Health Services,1
60612,Industrial,1
60612,Personal Service,2
60612,Public Services,2
60612,Religious (except school or residence),4
60612,Retail,4
60612,Service or Programmed Residential Space,1
60612,Social Services & Political Advocacy,2
60612,Trade Service,7
60612,"Wholesale, storage and transit",3
60613,Arts and Entertainment,11
60613,Childcare and Schools,10
60613,Dining,7
60613,"Financial, Insurance, Real Estate, Legal, and Professional",77
60613,Fitness,4
60613,Health Services,44
60613,Industrial,1
60613,Other,2
60613,Personal Service,18
60613,Public Services,2
60613,Retail,26
60613,Service or Programmed Residential Space,9
60613,Social Services & Political Advocacy,8
60613,Trade Service,36
60613,"Wholesale, storage and transit",10
60614,Arts and Entertainment,4
60614,Childcare and Schools,4
60614,Dining,4
60614,"Financial, Insurance, Real Estate, Legal, and Professional",22
60614,Fitness,2
60614,Health Services,9
60614,Industrial,3
60614,Personal Service,2
60614,Retail,13
60614,Social Services & Political Advocacy,1
60614,Trade Service,16
60614,"Wholesale, storage and transit",5
60615,Arts and Entertainment,14
60615,Childcare and Schools,33
60615,Dining,56
60615,"Financial, Insurance, Real Estate, Legal, and Professional",73
60615,Fitness,9
60615,Health Services,80
60615,Other,4
60615,Personal Service,46
60615,Public Services,9
60615,Religious (except school or residence),26
60615,Retail,56
60615,Service or Programmed Residential Space,19
60615,Social Services & Political Advocacy,18
60615,Trade Service,30
60615,"Wholesale, storage and transit",3
60616,"Financial, Insurance, Real Estate, Legal, and Professional",1
60616,Fitness,1
60616,Health Services,1
60617,Arts and Entertainment,8
60617,Childcare and Schools,20
60617,Dining,21
60617,"Financial, Insurance, Real Estate, Legal, and Professional",28
60617,Fitness,2
60617,Health Services,25
60617,Industrial,5
60617,Other,2
60617,Personal Service,11
60617,Public Services,3
60617,Religious (except school or residence),39
60617,Retail,37
60617,Service or Programmed Residential Space,11
60617,Social Services & Political Advocacy,15
60617,Trade Service,26
60617,"Wholesale, storage and transit",2
60618,Arts and Entertainment,5
60618,Childcare and Schools,3
60618,Dining,19
60618,"Financial, Insurance, Real Estate, Legal, and Professional",19
60618,Fitness,5
60618,Health Services,19
60618,Personal Service,13
60618,Public Services,1
60618,Religious (except school or residence),1
60618,Retail,28
60618,Service or Programmed Residential Space,1
60618,Social Services & Political Advocacy,2
60618,Trade Service,24
60618,"Wholesale, storage and transit",6
60619,Retail,1
60620,Arts and Entertainment,11
60620,Childcare and Schools,58
60620,Dining,43
60620,"Financial, Insurance, Real Estate, Legal, and Professional",32
60620,Fitness,4
60620,Health Services,15
60620,Industrial,3
60620,Other,1
60620,Personal Service,66
60620,Public Services,8
60620,Religious (except school or residence),98
60620,Retail,82
60620,Service or Programmed Residential Space,15
60620,Social Services & Political Advocacy,19
60620,Trade Service,41
