census_tract,Place Type,count_of_Active_PlaceStatus
17031020200,Trade Service,1
17031031000,Dining,2
17031031000,Personal Service,2
17031031000,Retail,1
17031031000,Social Services & Political Advocacy,1
17031040100,Dining,3
17031040100,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031040100,Health Services,4
17031040100,Personal Service,2
17031040100,Public Services,1
17031040100,Retail,2
17031040100,Trade Service,1
17031040100,"Wholesale, Storage and Transportation",1
17031040201,Childcare and Schools,1
17031040201,Dining,3
17031040201,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031040201,Health Services,1
17031040201,Personal Service,2
17031040201,Religious (except school or residence),1
17031040201,Retail,2
17031040201,Service or Programmed Residential Space,1
17031040201,Social Services & Political Advocacy,1
17031040201,Trade Service,7
17031040202,Health Services,2
17031040202,Retail,3
17031040300,Childcare and Schools,1
17031040300,Dining,1
17031040300,Fitness,1
17031040300,Health Services,2
17031040300,Personal Service,1
17031040300,Public Services,1
17031040300,Trade Service,1
17031040401,Childcare and Schools,1
17031040401,Dining,2
17031040401,Retail,1
17031040401,Trade Service,1
17031040402,Childcare and Schools,2
17031040402,Retail,1
17031040402,Trade Service,1
17031050900,Retail,1
17031071000,Dining,1
17031110501,Religious (except school or residence),1
17031130200,Dining,3
17031130200,Personal Service,1
17031130200,Religious (except school or residence),1
17031130200,Retail,1
17031140100,Childcare and Schools,1
17031140100,Dining,4
17031140100,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031140100,Health Services,6
17031140100,Industrial,2
17031140100,Other,1
17031140100,Personal Service,2
17031140100,Retail,8
17031140100,Trade Service,5
17031140100,"Wholesale, Storage and Transportation",3
17031140200,Arts and Entertainment,2
17031140200,Childcare and Schools,6
17031140200,Dining,12
17031140200,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031140200,Health Services,5
17031140200,Personal Service,6
17031140200,Religious (except school or residence),2
17031140200,Retail,18
17031140200,Service or Programmed Residential Space,2
17031140200,Social Services & Political Advocacy,5
17031140200,Trade Service,5
17031140200,"Wholesale, Storage and Transportation",4
17031140301,Arts and Entertainment,3
17031140301,Childcare and Schools,1
17031140301,Dining,17
17031140301,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031140301,Health Services,3
17031140301,Personal Service,5
17031140301,Retail,24
17031140301,Trade Service,2
17031140301,"Wholesale, Storage and Transportation",1
17031140302,Arts and Entertainment,1
17031140302,Childcare and Schools,2
17031140302,Fitness,1
17031140302,Health Services,6
17031140302,Religious (except school or residence),2
17031140302,Retail,3
17031140302,Trade Service,3
17031140302,"Wholesale, Storage and Transportation",1
17031140400,Arts and Entertainment,5
17031140400,Childcare and Schools,2
17031140400,Dining,16
17031140400,"Financial, Insurance, Real Estate, Legal, and Professional",13
17031140400,Fitness,2
17031140400,Health Services,9
17031140400,Industrial,1
17031140400,Personal Service,9
17031140400,Public Services,1
17031140400,Religious (except school or residence),2
17031140400,Retail,21
17031140400,Service or Programmed Residential Space,1
17031140400,Social Services & Political Advocacy,3
17031140400,Trade Service,34
17031140400,"Wholesale, Storage and Transportation",12
17031140500,Arts and Entertainment,1
17031140500,Childcare and Schools,2
17031140500,Dining,9
17031140500,"Financial, Insurance, Real Estate, Legal, and Professional",7
17031140500,Fitness,4
17031140500,Health Services,3
17031140500,Personal Service,7
17031140500,Public Services,1
17031140500,Religious (except school or residence),4
17031140500,Retail,13
17031140500,Social Services & Political Advocacy,1
17031140500,Trade Service,16
17031140500,"Wholesale, Storage and Transportation",4
17031140601,Arts and Entertainment,2
17031140601,Childcare and Schools,1
17031140601,Dining,9
17031140601,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031140601,Health Services,3
17031140601,Personal Service,5
17031140601,Retail,14
17031140601,Service or Programmed Residential Space,2
17031140601,Social Services & Political Advocacy,1
17031140601,Trade Service,9
17031140601,"Wholesale, Storage and Transportation",2
17031140602,Arts and Entertainment,2
17031140602,Childcare and Schools,5
17031140602,Dining,6
17031140602,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031140602,Health Services,7
17031140602,Industrial,1
17031140602,Personal Service,2
17031140602,Retail,13
17031140602,Trade Service,6
17031140602,"Wholesale, Storage and Transportation",7
17031140701,Arts and Entertainment,2
17031140701,Childcare and Schools,2
17031140701,Dining,18
17031140701,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031140701,Health Services,5
17031140701,Personal Service,6
17031140701,Religious (except school or residence),1
17031140701,Retail,23
17031140701,Social Services & Political Advocacy,2
17031140701,Trade Service,7
17031140701,"Wholesale, Storage and Transportation",1
17031140702,Arts and Entertainment,1
17031140702,Childcare and Schools,4
17031140702,Dining,18
17031140702,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031140702,Fitness,2
17031140702,Health Services,3
17031140702,Personal Service,7
17031140702,Public Services,1
17031140702,Religious (except school or residence),2
17031140702,Retail,18
17031140702,Social Services & Political Advocacy,2
17031140702,Trade Service,20
17031140702,"Wholesale, Storage and Transportation",2
17031140800,Arts and Entertainment,8
17031140800,Childcare and Schools,9
17031140800,Dining,13
17031140800,"Financial, Insurance, Real Estate, Legal, and Professional",27
17031140800,Fitness,3
17031140800,Health Services,20
17031140800,Personal Service,11
17031140800,Religious (except school or residence),3
17031140800,Retail,19
