ZCTA_Zipcode,Place Type,count_of_Active_PlaceStatus
60160,Retail,1
60302,Retail,1
60459,Personal Service,1
60603,"Wholesale, Storage and Transportation",1
60605,"Financial, Insurance, Real Estate, Legal, and Professional",1
60605,Health Services,1
60607,Arts and Entertainment,9
60607,Childcare and Schools,40
60607,Cook County Land Bank,1
60607,Dining,159
60607,"Financial, Insurance, Real Estate, Legal, and Professional",37
60607,Fitness,11
60607,Health Services,30
60607,Homeless,1
60607,Industrial,1
60607,Other,3
60607,Personal Service,26
60607,Public Services,8
60607,Religious (except school or residence),9
60607,Retail,65
60607,Service or Programmed Residential Space,9
60607,Social Services & Political Advocacy,8
60607,Trade Service,22
60607,"Wholesale, Storage and Transportation",7
60608,Arts and Entertainment,21
60608,Childcare and Schools,65
60608,Dining,245
60608,F.I.R.E,3
60608,"Financial, Insurance, Real Estate, Legal, and Professional",105
60608,Fitness,14
60608,Health Services,59
60608,Industrial,22
60608,Other,6
60608,Personal Service,116
60608,Public Services,13
60608,Religious (except school or residence),26
60608,Retail,237
60608,Service or Programmed Residential Space,7
60608,Social Services & Political Advocacy,37
60608,Trade Service,113
60608,Unknown,1
60608,"Wholesale, Storage and Transportation",41
60609,Arts and Entertainment,11
60609,Childcare and Schools,43
60609,Cook County Land Bank,1
60609,Dining,86
60609,"Financial, Insurance, Real Estate, Legal, and Professional",51
60609,Fitness,9
60609,Health Services,32
60609,Industrial,46
60609,Other,2
60609,Personal Service,51
60609,Public Services,23
60609,Religious (except school or residence),52
60609,Retail,216
60609,Service or Programmed Residential Space,9
60609,Social Services & Political Advocacy,23
60609,Trade Service,103
60609,"Wholesale, Storage and Transportation",60
60612,Arts and Entertainment,7
60612,Childcare and Schools,39
60612,Dining,59
60612,F.I.R.E,1
60612,"Financial, Insurance, Real Estate, Legal, and Professional",43
60612,Fitness,3
60612,Health Services,46
60612,Industrial,13
60612,Other,3
60612,Personal Service,24
60612,Public Services,12
60612,Religious (except school or residence),23
60612,Retail,58
60612,Service or Programmed Residential Space,3
60612,Social Services & Political Advocacy,21
60612,Trade Service,56
60612,Unknown,1
60612,"Wholesale, Storage and Transportation",21
60614,Dining,1
60615,Arts and Entertainment,12
60615,Childcare and Schools,53
60615,Dining,153
60615,"Financial, Insurance, Real Estate, Legal, and Professional",72
60615,Fitness,11
60615,Health Services,56
60615,Industrial,1
60615,Other,8
60615,Personal Service,79
60615,Public Services,10
60615,Religious (except school or residence),43
60615,Retail,104
60615,Service or Programmed Residential Space,32
60615,Social Services & Political Advocacy,16
60615,Trade Service,23
60615,Unknown,1
60615,"Wholesale, Storage and Transportation",4
60616,Arts and Entertainment,10
60616,Childcare and Schools,28
60616,Dining,47
60616,"Financial, Insurance, Real Estate, Legal, and Professional",29
60616,Fitness,5
60616,Health Services,27
60616,Industrial,9
60616,Other,4
60616,Personal Service,20
60616,Public Services,5
60616,Religious (except school or residence),12
60616,Retail,47
60616,Service or Programmed Residential Space,11
60616,Social Services & Political Advocacy,15
60616,Trade Service,35
60616,"Wholesale, Storage and Transportation",14
60617,Arts and Entertainment,14
60617,Childcare and Schools,51
60617,Cook County Land Bank,1
60617,Dining,55
60617,F.I.R.E,3
60617,"Financial, Insurance, Real Estate, Legal, and Professional",64
60617,Fitness,6
60617,Health Services,46
60617,Industrial,6
60617,Other,4
60617,Personal Service,57
60617,Public Services,13
60617,Religious (except school or residence),58
60617,Retail,100
60617,Service or Programmed Residential Space,13
60617,Social Services & Political Advocacy,11
60617,Trade Service,63
60617,"Wholesale, Storage and Transportation",8
60618,Arts and Entertainment,2
60618,Childcare and Schools,3
60618,Dining,16
60618,"Financial, Insurance, Real Estate, Legal, and Professional",7
60618,Fitness,2
60618,Health Services,9
60618,Personal Service,7
60618,Retail,20
60618,Service or Programmed Residential Space,1
60618,Social Services & Political Advocacy,1
60618,Trade Service,15
60618,"Wholesale, Storage and Transportation",1
60619,Arts and Entertainment,30
60619,Childcare and Schools,78
60619,Cook County Land Bank,1
60619,Dining,136
60619,F.I.R.E,37
60619,"Financial, Insurance, Real Estate, Legal, and Professional",65
60619,Fitness,6
60619,Health Services,68
