Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website
Greggory Fahey and Associates,4734,N Winchester Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,Yes,2019,bill collection agency,773-728-4593,,POINT(-87.6776969724493 41.9679713294287),-87.67769697,41.96797133,
Gregory T. Amarantos Amarantos Foot Center,5215,N California Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clncs Podtrst,773-334-2299,,POINT(-87.698897205968 41.9762796496948),-87.69889721,41.97627965,
Greystone Properties Group,4739,N Talman Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,Yes,2019,Holding Comps Nec,650-575-5162,,POINT(-87.6949661549285 41.9678638953288),-87.69496615,41.9678639,
Griffin Theatre,5301,N Damen Ave,,,,Chicago,,Active,Arts and Entertainment,Live theater,No,2019,,872-806-2660,,POINT(-87.6794152295006 41.9779034353444),-87.67941523,41.97790344,
Grind Cafe,4613,N Lincoln Ave,,,,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,Eating Places,773-271-4482,,POINT(-87.6863634116607 41.9653402693101),-87.68636341,41.96534027,
Groundswell,4839,N Damen Ave,,,,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,Misc Food Stores,763-568-9445,,POINT(-87.6791610673606 41.9699223793059),-87.67916107,41.96992238,
Groundswell Coffee Roasters,5008,N Lincoln Ave,,,,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,Misc Food Stores,773-293-7129,,POINT(-87.6908591751288 41.9721272449469),-87.69085918,41.97212724,
Guliani Madhu Rajudar Med Center,5140,N California Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-728-0929,,POINT(-87.6989688591883 41.9748063585496),-87.69896886,41.97480636,
GV Jewelry,1926,W Foster Ave,,,,Chicago,,Active,Retail,Beauty-Accessory,No,2019,Jewelry Stores,773-275-6577,,POINT(-87.6775135283835 41.9760824861129),-87.67751353,41.97608249,
H&M Cleaners,4547,N Western Ave,,,,Chicago,,Active,Personal Service,"Laundry, tailor",No,2019,Repair Services Nec,773-275-7296,,POINT(-87.6887100932538 41.9645342026756),-87.68871009,41.9645342,
Hair Care,5239,N Damen Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,Beauty Shops,773-275-3930,,POINT(-87.6794165167864 41.9771067796344),-87.67941652,41.97710678,
Haircentrix,5441,N Lincoln Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,Beauty Shops,773-561-3476,,POINT(-87.6927651989391 41.980744540072),-87.6927652,41.98074454,
"Hamid Humayan, MD",5140,N California Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns of Mdl D,773-784-2101,,POINT(-87.6989688591883 41.9748063585496),-87.69896886,41.97480636,
"Han K. Lim, MD",5140,N California Ave,,,,Chicago,,Active,Health Services,Out-patient,No,2019,Ofcs Clns Optmtrst,773-907-8700,,POINT(-87.6989688591883 41.9748063585496),-87.69896886,41.97480636,
Handyman Solutions Remodel,2239,W Carmen Ave,,,,Chicago,,Active,Trade Service,Building trades,No,2019,Sngl-Fam Hsng Cnstr,312-344-1373,,POINT(-87.6857710805286 41.9739555140514),-87.68577108,41.97395551,
