Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website
Columbia Marketing & Funding Corporation,3445,N Central Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,Yes,2019,Prsnl Crdt Instutns,708-669-5500,,POINT(-87.7666264899081 41.9435403174205),-87.76662649,41.94354032,
Communications Unlisted,5013,W Irving Park Rd,,,,Chicago,,Active,Retail,Electronics & appliances,No,2019,,773-282-6222,,POINT(-87.7528390813504 41.9533224955351),-87.75283908,41.9533225,
Community First Medical Center,5645,W Addison St,,,,Chicago,,Active,Health Services,Hospital,No,2019,Gnl Mdl Srgl Hsptl,773-282-7000,,POINT(-87.7690035004218 41.9458314885079),-87.7690035,41.94583149,
Community First Medical Center Gift Gallery,5645,W Addison St,,,,Chicago,,Active,Retail,Gift-art-ethnic,No,2019,Gft Nvlty Svenr S,773-794-7661,,POINT(-87.7690035004218 41.9458314885079),-87.7690035,41.94583149,
Community Savings Bank,4824,W Belmont Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,No,2019,,773-685-5300,,POINT(-87.7480015493408 41.9388876341004),-87.74800155,41.93888763,
Community Tavern,4038,N Milwaukee Ave,,,,Chicago,,Active,Arts and Entertainment,Club-lounge-bar,No,2019,,773-283-6080,,POINT(-87.7486352047726 41.9541588976057),-87.7486352,41.9541589,
Comp-Unique,5240,W Waveland Ave,,,,Chicago,,Active,Trade Service,Tech service,Yes,2019,Computer consultant,773-427-5200,,POINT(-87.758702277412 41.9478614932267),-87.75870228,41.94786149,
Comprehensive Construction Solutions,5835,W Montrose Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Goods distribution,No,2019,,773-365-9060,,POINT(-87.7735399719454 41.9603745139491),-87.77353997,41.96037451,
Comprehensive Investigative Services,6351,W Montrose Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Vehicle rental,No,2019,P.O. Box,800-618-2155,,POINT(-87.7860946430999 41.9601422072888),-87.78609464,41.96014221,
Compremex,3942,N Cicero Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,Fnctns Rltd Dep Bkg,773-647-1192,,POINT(-87.7473193956635 41.9528611362449),-87.7473194,41.95286114,
Computer One,4338,N Milwaukee Ave,,,,Chicago,60641,Active,Trade Service,Tech service,No,2019,,773-350-0685,,POINT(-87.7539837 41.9598658),-87.7539837,41.9598658,
Computer Planet,4804,N Central Ave,,,,Chicago,,Active,Retail,Electronics & appliances,No,2019,,773-546-8274,,POINT(-87.7675487956001 41.9679384593556),-87.7675488,41.96793846,
Congas Restaurant and Lounge,5734,W Windsor Ave,,,,Chicago,,Out of Business,Arts and Entertainment,Club-lounge-bar,Yes,2019,Drinking Places,773-968-4259,,POINT(-87.7711908352565 41.9632404606528),-87.77119084,41.96324046,
Congregational Church of Jefferson Park,5320,W Giddings St,,,,Chicago,,Active,Religious (except school or residence),Church,No,2019,Religious Organizations,773-725-0121,,POINT(-87.760414160018 41.9663944297917),-87.76041416,41.96639443,
ConnectFood,4730,N Leamington Ave,,,,Chicago,,Out of Business,Trade Service,Tech service,Yes,2019,Software Company,708-308-0857,,POINT(-87.7562409474324 41.96699163928),-87.75624095,41.96699164,
Consolidated Data Service,3511,N Central Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2019,Acctng Audtng Bkp,773-283-2832,,POINT(-87.7666761227258 41.9444372830336),-87.76667612,41.94443728,
Constant Motion Service,5523,W Windsor Ave,,,,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,Yes,2019,Services  Nec,708-598-3090,,POINT(-87.7659220265707 41.9632845215378),-87.76592203,41.96328452,
Consumer Financial Services,3855,N Cicero Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,,773-685-4049,,POINT(-87.7471875364545 41.9512695080775),-87.74718754,41.95126951,
Contreras Construction,4625,W Grace St,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,Sngl-Fam Hsng Cnstr,773-895-3163,,POINT(-87.7435197483871 41.9497805393381),-87.74351975,41.94978054,
Cook County Commisioner,4253,N Milwaukee ave,,,,Chicago,60641,Active,Social Services & Political Advocacy,Administrative,No,2019,,773-283-7873,,POINT(-87.752398 41.958383),-87.752398,41.958383,
Coordinated Systems Consulting,4041,N Milwaukee Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,No,2019,Bus  Services  Nec,571-296-4326,,POINT(-87.7487556859201 41.9543050113076),-87.74875569,41.95430501,
Copeland Dental,5955,W Irving Park Rd,,,,Chicago,,Active,Health Services,Dentist,No,2019,Ofcs Clns of Dntst,773-481-9455,,POINT(-87.7765104427735 41.9530375031755),-87.77651044,41.9530375,
Cornels Floor Sanding,5246,W Irving Park Rd,,,,Chicago,,Active,Trade Service,Building trades,No,2019,Flr Laying Work Ne,773-292-0123,,POINT(-87.7591205258218 41.9532924531859),-87.75912053,41.95329245,
Cosmic Bikes,4641,N Milwaukee Ave,,,,Chicago,,Active,Trade Service,Bike shops,No,2019,,773-930-4076,,POINT(-87.758237887936 41.9650211519456),-87.75823789,41.96502115,
Cosmopolitan Building Services,5532,W Belmont Ave,,,,Chicago,,Out of Business,Trade Service,Indoor service,No,2019,Bldng Maint Svc Ne,773-481-1100,,POINT(-87.7654308349598 41.93861548592),-87.76543083,41.93861549,
Cosmopolitan Dental Clinic,5512,W Belmont Ave,,,,Chicago,,Out of Business,Health Services,Dentist,No,2019,Ofcs Clns of Dntst,773-777-3388,,POINT(-87.7645751788719 41.9386638237416),-87.76457518,41.93866382,
Counseling Center of Illinois,4515,N Milwaukee Ave,,,,Chicago,,Active,Health Services,Counselor,No,2019,Indvdl Family Services,773-777-6767,,POINT(-87.7563671508484 41.9628549695263),-87.75636715,41.96285497,
Courtney Clark,6230,W Cuyler Ave,,,,Chicago,,Active,Health Services,Counselor,Yes,2019,Indvdl Family Services,773-544-2714,,POINT(-87.7829528608522 41.9539074603892),-87.78295286,41.95390746,
Crafty Beaver,4306,N Central Ave,,,,Chicago,,Active,Retail,Hardware,No,2019,Lmbr Bldng Mtrls,773-725-4432,,POINT(-87.7672399431274 41.9589358011559),-87.76723994,41.9589358,
Cragin Fresh Market,5958,W Addison St,,,,Chicago,,Active,Retail,Small Grocery,No,2019,Grocery Stores,773-283-8081,,POINT(-87.7760549996193 41.9458458322719),-87.776055,41.94584583,
Creative Printing & Smart Ideas,3406,N Cicero Ave,,,,Chicago,,Active,Trade Service,"Copy, mail, and print shops",No,2019,Commercial Printng Ne,773-481-6522,,POINT(-87.7470288086354 41.9426790981544),-87.74702881,41.9426791,
Credit RX,3209,N Cicero Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,,773-647-1112,,POINT(-87.7468340673565 41.9392087546697),-87.74683407,41.93920875,
Cremation Choices-Greater Chicago,4800,N Austin Ave,,,,Chicago,,Active,Trade Service,Funeral,No,2019,Funerl Svc Crmtrie,773-283-4446,,POINT(-87.7776122956397 41.9679012992476),-87.7776123,41.9679013,
Cricket,5558,W Belmont Ave,,,,Chicago,,Active,Retail,Phones,No,2019,Radio Telephon Comm,,,POINT(-87.7662139188509 41.93860551137),-87.76621392,41.93860551,cricketwireless.com
Cricket Wireless,5617,W Montrose Ave,,,,Chicago,,Active,Retail,Phones,No,2019,,847-370-9326,,POINT(-87.7682683 41.9602078),-87.7682683,41.9602078,
Criss Flooring,3819,N Laramie Ave,,,,Chicago,,Active,Trade Service,Indoor service,Yes,2019,Floor Covering Strs,773-827-6876,,POINT(-87.7569888353306 41.9502778346376),-87.75698884,41.95027783,
Criss Hair Design,4310,N Milwaukee Ave,,,,Chicago,60641,Active,Personal Service,Beauty,No,2019,,773-202-0099,,POINT(-87.753541 41.959086),-87.753541,41.959086,
Criss Hair Design,4707,N Milwaukee Ave,,,,Chicago,,Out of Business,Personal Service,Beauty,No,2019,Beauty Shops,773-202-0099,,POINT(-87.758888898819 41.9658092576092),-87.7588889,41.96580926,
Crossfit Chisel,4864,W Irving Park Rd,,,,Chicago,,Active,Fitness,Weight loss,No,2019,Physcl Ftnss Faclts,773-930-3178,,POINT(-87.7496940840322 41.9534065297275),-87.74969408,41.95340653,
CRX Pharmacy,5941,W Irving Park Rd,,,,Chicago,,Active,Retail,Drug,No,2019,Drug Proprietry St,773-466-9418,,POINT(-87.7759601644748 41.9530455287097),-87.77596016,41.95304553,
CTS Financial Services,4406,N Milwaukee Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,No,2019,Tax Retrn Prep Services,773-282-3200,,POINT(-87.7547010993898 41.9607976512803),-87.7547011,41.96079765,
Cup of Joe Communications,5811,W Montrose Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,No,2019,Comptr Maint Repai,773-617-9604,,POINT(-87.7726539743604 41.9603655140666),-87.77265397,41.96036551,
Currency Exchange,4354,N Central Ave,B,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Currency exchange,No,2019,,773-545-7916,,POINT(-87.7673011058218 41.9602736461214),-87.76730111,41.96027365,
Custom Detailing & Hand Car Wash,3633,N Cicero Ave,,,,Chicago,,Active,Trade Service,Vehicle services,No,2019,Carwashes,773-283-6987,,POINT(-87.7470831225741 41.9471642828707),-87.74708312,41.94716428,
